kod,temata,zapocet,zkouska,pozor,delka_puvodni
NAIL002,"Biologický neuron a neuronové sítě, historie a základní principy umělých neuronových sítí, adaptace a učení|Formální neuron (váhy, potenciál, přenosová funkce), konekcionalismus, učení s učitelem a samoorganizace|Perceptron a lineární separabilita, perceptronový algoritmus učení a jeho konvergence, přihrádkový algoritmus|Dopředné sítě a algoritmus zpětného šíření, trénovací, testovací a validační množina, strategie učení|Generalizace, over-fitting a over-sizing, Vapnik-Chervonenkisova dimenze, Kolmogorovova věta, aproximace funkcí|Asociativní sítě: Hebbovské učení, kapacita paměti, atraktory, energetická funkce, BAM, Hopfieldův model, simulované žíhání, Boltzmannův stroj|Samoorganizace a hybridní modely: Ojův algoritmus pro PCA, Kohonenovy samoorganizační mapy, counter-propagation, RBF-sítě, ART, kaskádová korelace, modulární sítě|Genetické algoritmy: selekce, křížení, mutace, fitness funkce, věta o schematech, aplikace v oblasti neuronových sítí","3 úkoly za semestr, každý hodnocen 0–10 body; nutné vypracovat všechny a z každého získat alespoň 1 bod|Řešení úkolu je text (popis řešení) a kód v Pythonu, lze odevzdat jako Jupyterovský notebook, alternativně PDF + ASCII soubory|Vypracovat a přednést projekt na jednom z posledních cvičení nebo v termínu prezentací ve zkouškovém období; prezentace a odevzdané řešení dohromady 0–15 bodů (téma se domlouvá přibližně v půlce semestru)|Online testy: vstupní test max. 10 bodů, dále 20 bodů za čtyři kratší testy; jejich řešení není nutnou podmínkou zápočtu|Dodatečné body na cvičeních: 1 bod za předvedení řešení úkolu zadaného na cvičení, u úkolu z Moodlu po termínu dolní celá část poloviny přidělených bodů|Bez dodatečných bodů lze za semestr získat až 75 bodů","Body z cvičení se započítávají s vahou 35 % do celkového hodnocení (i při více než 75 bodech zůstává váha 35 %)|Dva online testy psané v rámci cvičení, každý přispívá 10 % k celkovému hodnocení|Zkouška na konci semestru se započítává 45 %|Známka podle celkového hodnocení: 1 za 100–86 %, 2 za 85–71 %, 3 za 70–56 %, méně než 56 % nevyhověl",Za pozdní odevzdání úkolu se strhává 1 bod za každý započatý týden po termínu odevzdání|Žádné náhradní termíny pro získání zápočtu nebudou vypsány|Nápadně podobná či totožná řešení N ≥ 2 posluchačů se hodnotí jako jedno řešení za B bodů a každý dostane jen dolní celou část z B/N,3321
NAIL025,"Modely evoluce: základní přístupy a pojmy, populace, rekombinace, ohodnocení úspěšnosti individua|Genetické algoritmy, zakódování řešeného problému do chromozómu, základní genetické operace|Selekce jako simulace přirozeného výběru: účelová funkce, dynamická vs. statická selekce, mechanismus rulety, turnaje, elitářství|Reprezentační schemata a jejich vlastnosti, věta o schematech, hypotéza o stavebních blocích, věta o implicitním paralelismu|Pravděpodobnostní modely jednoduchého genetického algoritmu pro konečnou a nekonečnou velikost populace|Strojové učení a datokopectví, evoluce expertních systémů, vnitřní reprezentace, Michiganský vs. Pittsburgský přístup|Klasifikační systémy, učení pravidel if-then, makléřský algoritmus, Q-učení, produkční systémy",Zápočet je udělen za vypracování úkolů na cvičení,Podmínkou zakončení předmětu je zápočet a složení zkoušky,Povaha kontroly získání zápočtu vylučuje možnost jejího opakování,188
NAIL069,"Inteligentní agenti, jejich prostředí a základní struktury|Řešení úloh prohledáváním: DFS, BFS, ID, A*, IDA*|Lokální a on-line prohledávání, heuristiky|Splňování omezujících podmínek|Hry: minimax, alfa-beta prořezávání|Reprezentace znalostí v logice, dopředné a zpětné řetězení, rezoluční metoda|Automatické plánování",Zápočet se získá za dostatečný počet bodů získaných v průběhu semestru; konkrétní číslo stanoví cvičící na začátku semestru|Body jsou udělovány za řešení programovacích domácích úkolů,Pro absolvování předmětu je potřeba složit zkoušku a získat zápočet|Udělení zápočtu není podmínkou pro přihlášení na zkoušku,Zápočet nelze opakovat,346
NAIL099,"Seminář se schází jednou za dva týdny v rozsahu 2 vyučovacích hodin; vystupují diplomanti a doktorandi z MFF, FJFI a FEL i zvaní vědečtí pracovníci|Vítaná jsou všechna témata související se strojovým učením nebo modelováním na základě dat, včetně referátů o zajímavé knize či článku|Učení pravidel z dat, booleovská a fuzzy pravidla, asociační a klasifikační pravidla, induktivní inference a induktivní logické programování|Případové učení, transduktivní inference, statistické učení, PAC učení, shlukování na základě podobnosti a samoorganizací|Evoluční učení, genetické algoritmy a programování, diferenční evoluce, algoritmy založené na odhadech rozdělení pravděpodobnosti|Neuronové sítě: učení s učitelem i bez učitele, perceptrony a vícevrstvé perceptrony, RBF sítě, samoorganizující mapy, kombinace s evolučními algoritmy|Support vector machines, hierarchické regresní modely, rozhodovací stromy, náhodné lesy, ensemblové a fuzzy metody kombinování klasifikátorů, spolehlivost predikce|Vizualizace dat a modelů, aplikace ve fyzice, chemii, biologii, počítačových hrách a technice","Stačí pasivní účast na všech seminářích, s výjimkou omluvené neúčasti|Účast je nutná ve dvou různých semestrech; nemusí jít o semestry po sobě následující, může mezi nimi být i delší časový odstup",,,228
NAIL104,"Podmíněná nezávislost, bayesovské klasifikátory|Bayesovské sítě, skryté markovské modely|Pokročilejší metody vyhodnocení: d-separace, strom spojení, posílání zpráv|Učení bayesovských sítí|Neorientované grafické modely, rozhodovací grafy|Částečně pozorovatelné markovské rozhodovací procesy (POMDP)|Variační přibližná inference|Příklady aplikací, dle zájmu studentů též tvorba modelů v Python knihovnách pgmpy a bayespy",,Ústní zkouška z témat obsažených v sylabu v rozsahu předneseném na přednášce|Část zkoušek může proběhnout distanční formou,,159
NAIL116,"Úvod: vyhledávání informací, prohledávání webu, analýza sociálních sítí, aktuální výzkum a směr dalšího vývoje|Základní paradigmata analýzy: popis dat a modelů, předzpracování textu a webových stránek, modely pro grafová data, vlastnosti statických a dynamických grafů|Izomorfizmus podgrafů, největší společný podgraf, zjišťování shody a vzdálenost na grafech, topologické deskriptory, klastrování a klasifikace grafů|Dobývání znalostí z webu: web crawling, indexování a zpracování dotazu ve vyhledávačích, ovlivňování výsledků vyhledávání|Řadicí algoritmy PageRank a HITS|Doporučovací systémy: metody založené na obsahu, kolaborativní filtrování, grafové a klastrovací metody, modely založené na LSI|Analýza sociálních sítí: míry pro centralitu a prestiž, vyhledávání komunit (Kernighan-Lin, klastrovací algoritmy, prolínající se komunity), klasifikace uzlů, sociální vliv, detekce expertů, evoluce a predikce linků|Aplikace: analýza sentimentu, zjišťování názoru a jeho sumarizace, spamování názorů, dobývání znalostí z dat, textu a multimedií, reklama na webu","1 úkol za semestr ve formě Jupyterovského notebooku, hodnocen 0–10 body; nutné jej vypracovat a získat za něj alespoň 1 bod|Řešení je text (popis řešení) a kód v Pythonu; alternativně text v PDF a kódy jako ASCII soubory|Vypracovat a přednést projekt na jednom z posledních cvičení nebo v termínu prezentací ve zkouškovém období; prezentace a odevzdané řešení dohromady 0–15 bodů (téma se domlouvá přibližně v půlce semestru)|2 online testy, dohromady maximálně 10 bodů; jejich řešení není nutnou podmínkou zápočtu|Dodatečné body na cvičeních: 1 bod za předvedení řešení úkolu zadaného na cvičení, u úkolu z Moodlu po termínu dolní celá část poloviny přidělených bodů|Bez dodatečných bodů lze za semestr získat až 35 bodů","Body z cvičení se započítávají s vahou 40 % do celkového hodnocení (i při více než 35 bodech zůstává váha 40 %)|Písemný test psaný v rámci přednášky přispívá 15 % k celkovému hodnocení|Zkouška na konci semestru se započítává 45 %|Známka podle celkového hodnocení: 1 za 100–86 %, 2 za 85–71 %, 3 za 70–56 %, méně než 56 % nevyhověl",Za pozdní odevzdání úkolu se strhává 1 bod za každý započatý týden po termínu odevzdání|Žádné náhradní termíny pro získání zápočtu nebudou vypsány|Předmět je přednášen (pouze) v angličtině,3244
NMAI060,"Diskrétní a spojité náhodné veličiny a jejich charakteristiky|Rekurentní jevy, klasifikace a aplikace|Markovovy řetězce s diskrétními stavy a diskrétním časem: klasifikace stavů, stacionární rozdělení, pravděpodobnosti pohlcení a doba do pohlcení|Exponenciální rozdělení, jeho vlastnosti a aplikace|Markovovy procesy s diskrétními stavy a spojitým časem, modely zrodu a zániku|Základy teorie front, modelování obslužných zařízení|Poissonův proces a jeho aplikace, Durbinův-Watsonův větvící se proces|Simulace náhodných objektů studovaných v přednášce",,Ústní zkouška,,14
NMAI073,"Markovovské řetězce: základní koncept a použití, stacionární distribuce a konvergence k ní|Pravděpodobnostní algoritmus na 2-SAT a 3-SAT|Model balls-into-bins: použití pro analýzu hashování, Poissonovská aproximace, odhady|Poissonův proces|Momentová vytvořující funkce a důkaz Centrální limitní věty|Podmíněná střední hodnota, coupling|Základy teorie informace, bayesovská statistika|Grafické modely, belief propagation","Aktivní účast na cvičení, domácí úkoly a úspěšné sepsání zápočtových písemek; přesný poměr těchto kritérií stanoví cvičící|Vyučující může stanovit podmínky, za nichž student může chybějící požadavky nahradit","Zkouška bude písemná, případně též ústní|Podmínkou připuštění ke zkoušce je získání zápočtu","Na aktivní účast na cvičení a domácí úkoly nelze vypsat opravné termíny|Přednáška bude česky nebo anglicky, podle toho, zda si ji zapíše někdo česky nemluvící",392
NMSA331,"Náhodný výběr, rozdělení výběrového průměru a rozptylu, pořádkové statistiky|Bodové a intervalové odhady: základní principy, empirické odhady, výběrové momenty a kvantily|Principy testování hypotéz|Jednovýběrové a párové metody pro kvantitativní data|Dvouvýběrové metody pro kvantitativní data|Jednovýběrové a dvouvýběrové metody pro binární data, multinomické rozdělení a kontingenční tabulky|Vícevýběrové metody pro kvantitativní data, analýza rozptylu, principy mnohonásobných porovnávání|Korelační analýza","Úspěšné napsání zápočtové písemné práce: alespoň 60 bodů ze 100, s právě jednou možností opravy|Dvě domácí úlohy za celkem 100 bodů (40 bodů za první, 60 za druhou); uspokojivé je řešení každé z nich alespoň na 60 % možných bodů, resp. celkový zisk alespoň 60 bodů za obě dohromady|Pokud nebude možná prezenční účast na písemce, proběhne vhodnou distanční formou",Zápočet je nutnou podmínkou pro účast na zkoušce,Povaha kontroly studia předmětu vylučuje opakování této kontroly,632
NPFL147,"Úvod, pravděpodobnost, základy teorie informace|Statistické jazykové modelování (n-gram)|Statistické vlastnosti slov|Vektorové reprezentace slov (word embeddings)|Skryté Markovovy modely, značkování (tagging)","Zápočet bude udělen po splnění domácích úkolů|Na domácí úkoly jsou k dispozici celkem dva opravné pokusy, v každém z nich lze opravit jeden nebo více úkolů najednou","K absolvování předmětu je zapotřebí zápočet i zkouška|Zkouška je písemnou formou, je dovoleno mít k ruce učebnici nebo kopie slajdů k přednášce nebo používat internet|Výsledná známka závisí na výsledcích zkoušky a řešení domácích úkolů; váha zkoušky je stejná jako váha jednoho domácího úkolu",,496
