kod,temata,zapocet,zkouska,pozor,delka_puvodni
NAIL013,"Adaptivní a učící se systémy: adaptace a učení, formální popis předmětů, výběr a uspořádání příznaků a učebních vzorů|Metody minimalizace kritéria ztrát: Bayesovo rozhodovací pravidlo, pravidlo nejbližšího souseda, shluková analýza|Použití klasických učících se klasifikátorů při rozpoznávání obrazu, řeči a v řízení|Rekapitulace paradigmat neuronových sítí: vrstevnaté sítě typu zpětného šíření, Hopfieldovy sítě, Kohonenovy mapy, hluboké sítě|Aplikace neuronových sítí: rozpoznávání mluvené řeči, modelování finančních systémů, multimediální data, robotika, predikce časových řad|Použití genetických algoritmů v oblasti neuronových sítí, formulace a vyhodnocování cílové funkce sítěmi zpětného šíření|Optimalizace architektury neuronových sítí pomocí genetických algoritmů",V doprovodném Moodle kurzu je zveřejněn jeden projektový úkol včetně harmonogramu a hodnocení|Každá fáze řešení úkolu má stanovené datum odevzdání,"Vyřešený úkol přispívá k výslednému hodnocení 55 procenty|Zkouška na konci semestru se započítává 45 procenty|Známka podle celkového hodnocení: 1 za 100 až 86 procent, 2 za 85 až 71 procent, 3 za 70 až 56 procent, méně než 56 procent nevyhověl",Pozdní odevzdání každého dílčího řešení snižuje celkové hodnocení o 1 procento za každý započatý týden zpoždění,571
NAIL015,Metody a techniky implementace základních modelů neuronových sítí|Kohonenovy mapy|Hopfieldova síť|Neurální formulace úloh a transformace zadání|Hodnocení nalezených řešení a úpravy sítě vedoucí k jeho zlepšení|Cvičení zaměřené na praktické realizace vybraných aplikací,"Úspěšná prezentace fungujících programů pro úlohy probírané v předmětu|Programy musí být vlastním dílem studenta, případné použití frameworků podléhá schválení vyučujícím|Dostatečná účast na semináři, kde probíhá rozbor úloh a průběžná diskuze",,Použití frameworků podléhá schválení vyučujícím,356
NAIL029,"Lineární regrese a učení založené na instancích jako extrémy v prostoru možných modelů|Expanze bazických funkcí a regularizace, například vyhlazené splajny|Logistická regrese a zobecněné lineární modely|Ohodnocování modelů: odhad chyby a interval spolehlivosti, krosvalidace, one-leave-out|Rozhodovací stromy, prořezávání, chybějící hodnoty; kombinace modelů (AdaBoost, random forest)|Bayesovské učení a EM algoritmus|Učení bez učitele: nákupní košík (algoritmus Apriori), klastrování k-means, k-medoids, hierarchické|Induktivní logické programování; neorientované grafické modely, gaussovské procesy a bayesovská optimalizace",,Ústní zkouška z témat obsažených v sylabu v rozsahu předneseném na přednášce,Část zkoušek může proběhnout distanční formou podle vývoje aktuální situace,240
NAIL060,"Metody a techniky implementace základních modelů neuronových sítí|Backpropagation|Zvyšování efektivity modelů, příbuzné a odvozené modely|Volba modelu, topologie a velikosti sítě|Adaptivní strategie optimalizace sítí|Cvičení zaměřené na praktické realizace vybraných aplikací","Úspěšná prezentace fungujících programů pro úlohy probírané v předmětu|Programy musí být vlastním dílem studenta, případné použití frameworků podléhá schválení vyučujícím|Dostatečná účast na semináři, kde probíhá rozbor úloh a průběžná diskuze",,Použití frameworků podléhá schválení vyučujícím,356
NAIL070,"Práce s neurčitostí: pravděpodobnostní metody, Bayesovské sítě, Markovské modely|Racionální rozhodování: teorie užitku, Markovské rozhodovací procesy|Rozhodování v prostředí s více agenty, inverzní teorie her|Strojové učení s učitelem: rozhodovací stromy, regrese, SVM, boosting|Prohledávání prostoru hypotéz|Učení pravděpodobnostních modelů a EM algoritmus|Zpětnovazební učení",,Předmět je zakončen ústní zkouškou,Zkouška může být ve výjimečných případech distanční,86
NAIL086,"Evoluční programování, alternativní reprezentace problému, evoluce konečných automatů, meta-evoluce|Evoluční strategie: kooperace individuí, (1+1) ES, (m+1) ES, rychlost konvergence|Genetické programování a evoluce počítačových programů, vnitřní stromová reprezentace, genetické operátory|Otevřená evoluce, adaptivní chování, animati, artificial life, emergence a simulace stádního chování (Tierra, Avida, Framsticks)|Evoluční algoritmy a numerická optimalizace: binární vs. float reprezentace, multiúčelová optimalizace, podmínky a omezení|Evoluční algoritmy a kombinatorické problémy: NP-úplné úlohy, problém obchodního cestujícího, problém batohu|Genetické učení neuronových sítí: evoluce topologií, evoluční učení vah, hybridní přístupy, funkční ekvivalence sítí",,Ústní zkouška,,13
NAIL105,"Tři internetové aplikace klasifikace: filtrace spamu, doporučovací systémy, systémy pro odhalení hrozeb v síti|Základní koncepty klasifikace: binární a vícetřídní klasifikace, falešná pozitivita a negativita, různá cena chyb|Charakteristiky kvality klasifikace: správnost, přesnost, citlivost, specificita, F-míra, ROC křivka a plocha pod ní|Lineární separabilita, jádrové funkce, učení klasifikátorů a přeučení, vztah klasifikace, regrese a shlukování|Hlavní typy klasifikačních metod: k-NN klasifikátory, bayesovské klasifikátory, Fisherova diskriminační analýza, umělé neuronové sítě|Generalizační schopnost a SVM klasifikátory, jádrové funkce, tolerance vůči šumu, aktivní učení|Srozumitelná klasifikace: klasifikační pravidla, evoluční hledání pravidel (michiganský a pittsburgský přístup), observační kalkul, klasifikační stromy|Týmy klasifikátorů: bagging, boosting, hierarchické týmy, náhodné lesy",Účast na cvičeních|Vypracování semestrální práce,Zkouška navazující na udělený zápočet,Získaný zápočet je podmínkou účasti na zkoušce,129
NAIL107,"Předzpracování dat|Jak porovnávat algoritmy učení|Učení s učitelem: rozhodovací stromy, bayesovské klasifikátory, logistická regrese, diskriminační analýza, nejbližší sousedé, SVM, neuronové sítě, boosting|Aplikace klasifikace v genomice, proteomice a systémové biologii|Učení bez učitele: shluková analýza, klastrování dělením, k-means, hierarchické klastrování, validace klastrování a aplikace v bioinformatice|Pravděpodobnostní grafické modely: bayesovské sítě, gaussovské sítě a jejich aplikace|Optimalizace a její aplikace v bioinformatice|Cvičení: aplikace metod na umělá i reálná biologická data v Pythonu s knihovnami pro strojové učení","Za semestr jsou zadány 2 úkoly, každý hodnocený 0 až 10 body, typickým řešením je Jupyter notebook|Pro zápočet je nutné vypracovat řešení všech úkolů a za každý získat alespoň 1 bod|Za semestr jsou zadány 2 on-line testy, za každý lze získat maximálně 5 bodů, po stanoveném datu už test nelze řešit, mezi podmínkami zápočtu ale on-line testy uvedeny nejsou|Vypracovat a přednést řešení projektu na jednom z posledních cvičení nebo v termínu prezentací ve zkouškovém období, témata se dohodnou přibližně v půlce semestru|Prezentace a odevzdané řešení projektu jsou ohodnoceny dohromady 0 až 15 body|Na cvičeních lze získat dodatečné body: 1 bod za předvedení řešení úkolu zadaného na cvičení, případně dolní celá část poloviny bodů za předvedení řešení odevzdaného v Moodlu po termínu","Body získané za semestr tvoří 40 procent výsledného bodového hodnocení|Zkouška na konci semestru se započítává 60 procenty|Známka podle celkového hodnocení: 1 za 100 až 86 procent, 2 za 85 až 71 procent, 3 za 70 až 56 procent, méně než 56 procent nevyhověl","Za pozdní odevzdání úkolu se strhává 1 bod za každý započatý týden po termínu|Pokud N je alespoň 2 posluchačů odevzdá nápadně podobná nebo totožná řešení, počítají se jako jedno řešení za B bodů a každý získá jen dolní celou část z B lomeno N|Žádné náhradní termíny pro získání zápočtu nebudou vypsány, zápočet vyžaduje průběžnou práci přes celý semestr",2360
NAIL138,"Připomenutí pojmů: umělé neuronové sítě a jejich architektura, obecné modely strojového učení, trénování a výběr modelu, výběr příznaků, míry kvality, interpretovatelnost, náhodné proměnné a procesy, bayesovský přístup|Neuronové sítě založené na náhodnosti: ELM sítě a jejich učení, náhodná projekce, znáhodněné konvoluční sítě|ESN sítě (echo state network), vývoj aktivity, sítě s nepovolenými spoji|Bayesovské neuronové sítě: apriorní rozdělení, predikce a odhady, stochastická a omezená stochasticita, hierarchická BNN|Stochastické metody pro neuronové sítě: bernoulliovský a gaussovský dropout, dropout a regularizace, týmy sítí, stochastický gradient a metoda SGD|Stochastické metody pro strojové učení: MCMC, Metropolis-Hastings, variační inference, kombinace VI s MCMC, generativní modely a hluboké Kalmanovy filtry|Obecný stochastický přístup: prostory náhodných vektorů, učení podle střední hodnoty a náhodného výběru, silný zákon velkých čísel a centrální limitní věta pro učení sítí, klestění sítě|Strojové učení jako podpora stochastické optimalizace: CMA-ES, náhradní modelování pro black-box optimalizaci (neuronové sítě, gaussovské procesy, náhodné lesy, ordinální regrese)",,,,0
NDBI023,"Úvod do dobývání znalostí: motivace, přehled základních úloh, metodiky řešení|Základní principy strojového učení: učení s učitelem, samoorganizace, semi-supervised learning, trénovací, testovací a validační množina, generalizace a přeučení, Occamova břitva|Pořizování, příprava a předzpracování dat: vzorkování, diskretizace numerických atributů, nenumerické proměnné, chybějící a prázdné hodnoty|Transformace, redukce a čištění dat: vztahy mezi veličinami, testování hypotéz, korelační, regresní, diskriminační a shluková analýza, redukce dimenzionality|Vyhodnocování výsledků: křížová validace, celková správnost, matice záměn, křivka učení, křivka navýšení, ROC křivka, bagging a boosting|Asociační pravidla: analýza nákupního košíku, algoritmus apriori, FP-Growth a TD-FP-Growth, omezené dobývání|Klastrová analýza: k-means, volba metriky, klastrová validita, FCM algoritmus, neuronový přístup, hierarchické klastrování, CLARANS, BIRCH, CURE, odlehlé vzory|Klasifikace a predikce: rozhodovací stromy (ID3, C4.5, CART, CHAID), bayesovské modely, neuronové sítě perceptronového typu, SVM, ELM sítě, genetické algoritmy","Domácí úkol odevzdaný jako Jupyter notebook do stanoveného data, hodnocený 0 až 10 body|On-line kvízy zveřejňované během semestru, dohromady maximálně 25 bodů, po stanoveném datu už kvíz nelze řešit|Vypracovat a přednést řešení projektu na jednom z posledních cvičení nebo v termínu prezentací ve zkouškovém období, témata se dohodnou přibližně v půlce semestru|Prezentace a odevzdaná řešení projektu jsou ohodnoceny dohromady 0 až 15 body|Na cvičeních lze získat dodatečné body, například 1 bod za předvedení řešení úlohy zadané na cvičení|Bez dodatečných bodů lze za celý semestr získat až 50 bodů","Body získané z cvičení se započítávají s vahou 40 procent|On-line test konaný v rámci cvičení přispívá 15 procenty|Zkouška na konci semestru se započítává 45 procenty|Známka podle celkového hodnocení: 1 za 100 až 86 procent, 2 za 85 až 71 procent, 3 za 70 až 56 procent, méně než 56 procent nevyhověl","Za pozdní odevzdání úkolu se strhává 1 bod za každý započatý týden po termínu|I když student získá z cvičení po započítání dodatečných bodů více než 50 bodů, započítá se to jen jako 40 procent hodnocení|Žádné náhradní termíny pro získání zápočtu nebudou vypsány, zápočet vyžaduje průběžnou práci přes celý semestr",2653
